;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Status;Prefixo;Placa;Garagem / Local;Endereço;Bairro;Cidade;Cep ;Fabricante;Modelo;Chassi;"Ano
Fabric./Model";Motor;RPM min;RPM max;Limite de opacidade
;220027;FSY3F91;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536J8241MR102202;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;220028;FQL1H94;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J8248MR102312;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;220029;GGD1H94;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J8244MR102713;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;220030;GCJ6B83;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J8245MR102462;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;220031;FSC7B25;Jaguaré;;;;;Volkswagen;24-260;9536J8245MR102607;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;220032;DZI0F89;Jaguaré;;;;;Volkswagen;24-260;9536J8249MR102173;2020/2021;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;220033;GHP4D65;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J8240MR100554;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;220034;CQU7D24;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;24-260;9536J8242MR100720;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
OK;220035;FXZ1J53;Jaguaré;Av. Mal. Mário Guedes;Jaguaré;São Paulo - SP;05348-042;Volkswagen;24-260;9536J8249MR100665;2019/2020;Cummins ISB 6.7;700;2500;1,5 m⁻¹
;221025;GBB2D27;Jaguaré;;;;;Volkswagen;11-180;9535V6TBXNR022531;2021/2022;Cummins ISF 3.8;700;2600;1,5 m⁻¹
;221026;GCD0B93;Jaguaré;;;;;Volkswagen;11-180;9535V6TB2NR022524;2021/2022;Cummins ISF 3.8;700;2600;1,5 m⁻¹
OK;221027;GEL6C32;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;11-180;9535V6TB5NR022551;2021/2022;Cummins ISF 3.8;700;2600;1,5 m⁻¹
;221028;GKG7B25;Jaguaré;;;;;Volkswagen;11-180;9535V6TB7NR022244;2021/2022;Cummins ISF 3.8;700;2600;1,5 m⁻¹
;221029;GAO4J76;Vila Maria;Av. Morvan Dias de Figueiredo, 5479;Vila Maria;São Paulo - SP;02170-000;Volkswagen;11-180;9535V6TB7NR022521;2021/2022;Cummins ISF 3.8;700;2600;1,5 m⁻¹
